start,end,score
00:32:21,00:32:23,0.023,Noise
00:32:24,00:32:26,0.188,Noise
00:32:27,00:32:30,0.016,Noise
00:32:31,00:32:33,0.152,Noise
00:32:34,00:32:36,0.051,Noise
00:32:37,00:32:40,0.078,Noise
00:32:41,00:32:43,0.004,Noise
00:32:44,00:32:46,0.004,Noise
00:32:47,00:32:50,0.152,Noise
00:32:51,00:32:53,0.004,Noise
00:32:54,00:32:56,0.051,Noise
00:32:57,00:32:59,0.188,Noise
00:33:01,00:33:03,0.023,Noise
00:33:04,00:33:06,0.008,Noise
00:33:07,00:33:09,0.012,Noise
00:33:11,00:33:13,0.016,Noise
00:33:14,00:33:16,0.098,Noise
00:33:17,00:33:19,0.016,Noise
00:33:21,00:33:23,0.062,Noise
00:33:24,00:33:26,0.016,Noise
00:33:27,00:33:29,0.039,Noise
00:33:31,00:33:33,0.078,Noise
00:33:34,00:33:36,0.051,Noise
00:33:37,00:33:39,0.078,Noise
00:33:41,00:33:43,0.051,Noise
00:33:44,00:33:46,0.012,Noise
00:33:47,00:33:49,0.0,Noise
00:33:51,00:33:53,0.016,Noise
00:33:54,00:33:56,0.062,Noise
00:33:57,00:33:59,0.0,Noise
00:34:01,00:34:03,0.023,Noise
00:34:04,00:34:06,0.062,Noise
00:34:07,00:34:09,0.152,Noise
00:34:11,00:34:13,0.379,Noise
00:34:14,00:34:16,0.727,Noise
00:34:17,00:34:19,0.004,LNT
00:34:21,00:34:23,0.016,LNT
00:34:24,00:34:26,0.77,LNT
00:34:27,00:34:29,0.062,LNT
00:34:31,00:34:33,0.098,LNT
00:34:34,00:34:36,0.324,LNT
00:34:37,00:34:39,0.004,LNT
00:34:41,00:34:43,0.012,LNT
00:34:44,00:34:46,0.004,LNT
00:34:47,00:34:49,0.141,LNT
00:34:51,00:34:53,0.496,LNT
00:34:54,00:34:56,0.27,LNT
00:34:57,00:34:59,0.324,LNT
00:35:01,00:35:03,0.004,LNT
00:35:04,00:35:06,0.273,LNT
00:35:07,00:35:09,0.984,LNT
00:35:11,00:35:13,0.008,LNT
00:35:14,00:35:16,0.102,LNT
00:35:17,00:35:19,0.996,LNT
00:35:21,00:35:23,0.996,LNT
00:35:24,00:35:26,0.996,LNT
00:35:27,00:35:29,0.949,LNT
00:35:31,00:35:33,0.996,LNT
00:35:34,00:35:36,0.984,LNT
00:35:37,00:35:39,0.992,LNT
00:35:41,00:35:43,0.996,LNT
00:35:44,00:35:46,0.996,LNT
00:35:47,00:35:49,0.996,LNT
00:35:51,00:35:53,0.996,LNT
00:35:54,00:35:56,0.969,LNT
00:35:57,00:35:59,0.996,LNT
00:36:00,00:36:03,0.996,LNT
00:36:04,00:36:06,0.812,LNT
00:36:07,00:36:09,0.996,LNT
00:36:10,00:36:13,0.996,LNT
00:36:14,00:36:16,0.969,LNT
00:36:17,00:36:19,0.0,Noise
00:36:20,00:36:22,0.004,Noise
00:36:24,00:36:26,0.004,Noise
00:36:27,00:36:29,0.004,Noise
00:36:30,00:36:32,0.004,Noise
00:36:34,00:36:36,0.004,Noise
00:36:37,00:36:39,0.004,Noise
00:36:40,00:36:42,0.004,Noise
00:36:44,00:36:46,0.004,Noise
00:36:47,00:36:49,0.004,Noise
00:36:50,00:36:52,0.004,Noise
00:36:54,00:36:56,0.004,Noise
00:36:57,00:36:59,0.004,Noise
00:37:00,00:37:02,0.004,Noise
00:37:04,00:37:06,0.004,Noise
00:37:07,00:37:09,0.004,Noise
00:37:10,00:37:12,0.004,Noise
00:37:14,00:37:16,0.004,Noise
00:37:17,00:37:19,0.016,Noise
00:37:20,00:37:22,0.004,Noise
00:37:24,00:37:26,0.008,Noise
00:37:27,00:37:29,0.004,Noise
00:37:30,00:37:32,0.059,Noise
00:37:34,00:37:36,0.004,Noise
00:37:37,00:37:39,0.008,Noise
00:37:40,00:37:42,0.004,Noise
00:37:44,00:37:46,0.0,Noise
00:37:47,00:37:49,0.031,Noise
00:37:50,00:37:52,0.055,Noise
00:37:54,00:37:56,0.016,Noise
00:37:57,00:37:59,0.137,Noise
00:38:00,00:38:02,0.027,Noise
00:38:04,00:38:06,0.004,Noise
00:38:07,00:38:09,0.023,Noise
00:38:10,00:38:12,0.031,Noise
00:38:14,00:38:16,0.0,Noise
00:38:17,00:38:19,0.02,Noise
00:38:20,00:38:22,0.02,Noise
00:38:24,00:38:26,0.152,Noise
00:38:27,00:38:29,0.961,Noise
00:38:30,00:38:32,0.039,Noise
00:38:34,00:38:36,0.281,Noise
00:38:37,00:38:39,0.098,Noise
